PatientsPerDay,ReferralRatePercent,AIServers,Doctors,ArrivalPeriodSec,AIServiceTimeSec,DoctorServiceTimeSec,AIUtilizationPercent,AIQueueWaitSec,AIQueueLength,DoctorUtilizationPercent,DoctorQueueWaitSec,DoctorQueueLength,DoctorProcessed,Feasible
1000,100,4,1,28.8,6.16,30,36.2914996302502,43.7798179980082,12,99.978593391196,505.468749999993,25,959,0
1000,100,4,2,28.8,6.16,30,5.3472222222222,0,0,52.0720981174883,0,0,999,1
1000,100,4,3,28.8,6.16,30,5.3472222222222,0,0,34.7147320783256,0,0,999,1
1000,100,4,4,28.8,6.16,30,5.3472222222222,0,0,26.0360490587442,0,0,999,1
1000,100,4,5,28.8,6.16,30,5.3472222222222,0,0,20.8288392469953,0,0,999,1
1000,100,4,6,28.8,6.16,30,5.3472222222222,0,0,17.3573660391628,0,0,999,1
1000,100,4,7,28.8,6.16,30,5.3472222222222,0,0,14.8777423192824,0,0,999,1
1000,100,4,8,28.8,6.16,30,5.3472222222222,0,0,13.0180245293721,0,0,999,1
2000,100,1,1,14.4,6.16,30,98.5968940956681,693.602920892496,25,99.978593391196,730.82875,25,959,0
2000,100,1,2,14.4,6.16,30,81.886562817812,191.308941418325,25,99.9535959008786,313.769374999999,25,1918,0
2000,100,1,3,14.4,6.16,30,42.7900204780789,0,0,69.411411678408,0,0,1998,1
2000,100,1,4,14.4,6.16,30,42.7900204780789,0,0,52.058558758806,0,0,1998,1
2000,100,1,5,14.4,6.16,30,42.7900204780789,0,0,41.6468470070448,0,0,1998,1
2000,100,1,6,14.4,6.16,30,42.7900204780789,0,0,34.705705839204,0,0,1998,1
2000,100,1,7,14.4,6.16,30,42.7900204780789,0,0,29.7477478621748,0,0,1998,1
2000,100,1,8,14.4,6.16,30,42.7900204780789,0,0,26.029279379403,0,0,1998,1
2000,100,2,1,14.4,6.16,30,98.0330940611951,692.198662613981,25,99.978593391196,730.82875,25,959,0
2000,100,2,2,14.4,6.16,30,74.6195975347476,186.588186954316,25,99.9535959008786,313.769374999999,25,1918,0
2000,100,2,3,14.4,6.16,30,21.3950102390394,0,0,69.411411678408,0,0,1998,1
2000,100,2,4,14.4,6.16,30,21.3950102390394,0,0,52.058558758806,0,0,1998,1
2000,100,2,5,14.4,6.16,30,21.3950102390394,0,0,41.6468470070448,0,0,1998,1
2000,100,2,6,14.4,6.16,30,21.3950102390394,0,0,34.705705839204,0,0,1998,1
2000,100,2,7,14.4,6.16,30,21.3950102390394,0,0,29.7477478621748,0,0,1998,1
2000,100,2,8,14.4,6.16,30,21.3950102390394,0,0,26.029279379403,0,0,1998,1
2000,100,3,1,14.4,6.16,30,97.8131898071181,690.797246963564,25,99.978593391196,730.82875,25,959,0
2000,100,3,2,14.4,6.16,30,71.7804724882047,181.872279260803,25,99.9535959008786,313.769374999999,25,1918,0
2000,100,3,3,14.4,6.16,30,14.2633401593596,0,0,69.411411678408,0,0,1998,1
2000,100,3,4,14.4,6.16,30,14.2633401593596,0,0,52.058558758806,0,0,1998,1
2000,100,3,5,14.4,6.16,30,14.2633401593596,0,0,41.6468470070448,0,0,1998,1
2000,100,3,6,14.4,6.16,30,14.2633401593596,0,0,34.705705839204,0,0,1998,1
2000,100,3,7,14.4,6.16,30,14.2633401593596,0,0,29.7477478621748,0,0,1998,1
2000,100,3,8,14.4,6.16,30,14.2633401593596,0,0,26.029279379403,0,0,1998,1
2000,100,4,1,14.4,6.16,30,97.6792594981401,689.398665318504,25,99.978593391196,730.82875,25,959,0
2000,100,4,2,14.4,6.16,30,70.0483075007923,177.161210877392,25,99.9535959008786,313.769374999998,25,1918,0
2000,100,4,3,14.4,6.16,30,10.6975051195197,0,0,69.411411678408,0,0,1998,1
2000,100,4,4,14.4,6.16,30,10.6975051195197,0,0,52.058558758806,0,0,1998,1
2000,100,4,5,14.4,6.16,30,10.6975051195197,0,0,41.6468470070448,0,0,1998,1
2000,100,4,6,14.4,6.16,30,10.6975051195197,0,0,34.705705839204,0,0,1998,1
2000,100,4,7,14.4,6.16,30,10.6975051195197,0,0,29.7477478621748,0,0,1998,1
2000,100,4,8,14.4,6.16,30,10.6975051195197,0,0,26.029279379403,0,0,1998,1
5000,100,1,1,5.76,6.16,30,100,713.780933062881,25,99.978593391196,737.317333333334,25,959,0
5000,100,1,2,5.76,6.16,30,100,363.08300102775,25,99.9678969589665,370.657833333333,25,1918,0
5000,100,1,3,5.76,6.16,30,100,242.471741225051,25,99.9572051042639,247.041361111111,25,2877,0
5000,100,1,4,5.76,6.16,30,100,180.350708742887,25,99.9465178241506,183.985125,25,3836,0
5000,100,1,5,5.76,6.16,30,100,147.643712574847,25,97.3412042502973,0,0,4670,0
5000,100,1,6,5.76,6.16,30,100,147.643712574847,25,81.1176702085811,0,0,4670,0
5000,100,1,7,5.76,6.16,30,100,147.643712574847,25,69.5294316073552,0,0,4670,0
5000,100,1,8,5.76,6.16,30,100,147.643712574847,25,60.8382526564358,0,0,4670,0
5000,100,2,1,5.76,6.16,30,99.6944693107072,712.666180344479,25,99.978593391196,737.5225,25,959,0
5000,100,2,2,5.76,6.16,30,99.6029451822533,362.582681047766,25,99.9685913934859,370.837375,25,1918,0
5000,100,2,3,5.76,6.16,30,99.4221139042813,241.983625730994,25,99.9585933982871,247.30775,25,2877,0
5000,100,2,4,5.76,6.16,30,98.9532337921415,179.319079389708,25,99.9485994031974,184.7700625,25,3836,0
5000,100,2,5,5.76,6.16,30,94.0453901497232,120.033146882105,25,99.9386094058138,140.156249999998,25,4795,0
